 TASK CREATE TIMESTAMP, TASK CODE,ITEM NUMBER,RAN NUMBER, TAG NUMBER, TASK COMPLETION SECONDS, TASK CREATE USER NAME, TASK SUPERVISOR NAME
2024-09-02 21:12:41.000 Z,REPL,743M6687375,AP7730745,T525283,313,Q8952449,S1 Tophat NS
2024-09-02 21:15:10.000 Z,REPL,76757975641,ZU7399086,27647325,136,Q8952449,S1 Tophat NS
2024-09-02 21:15:46.000 Z,REPL,76757975641,XY4277935,27647321,15,Q8952449,S1 Tophat NS
2024-09-02 21:16:12.000 Z,REPL,76757975641,DT7322537,27647320,9,Q8952449,S1 Tophat NS
2024-09-02 21:17:55.000 Z,REPL,801A9328724,FG4263673,T523732,92,Q8952449,S1 Tophat NS
2024-09-02 21:19:38.000 Z,REPL,28228932189,RTB5857024,M245411,8,Q9873799,S1 Tophat NS
2024-09-02 21:20:04.000 Z,REPL,801A9328724,GN8449913,T523732,68,Q8952449,S1 Tophat NS
2024-09-02 21:20:39.000 Z,REPL,1125481959,HH2243334,8220062,29,Q3368499,S1 Tophat NS
2024-09-02 21:20:49.000 Z,REPL,1125481959,YR1476538,8220063,6,Q3368499,S1 Tophat NS
2024-09-02 21:21:00.000 Z,REPL,1125481959,UE5790659,8220061,9,Q3368499,S1 Tophat NS
2024-09-02 21:22:12.000 Z,REPL,16557233611,JW9488156,4265116,13,Q9873799,S1 Tophat NS
2024-09-02 21:23:46.000 Z,REPL,31098894572,IS3386619,X6RAE4701,14,Q3368499,S1 Tophat NS
2024-09-02 21:23:55.000 Z,REPL,1125481959,KZ2454997,T524569,13,Q5481596,S1 Tophat NS
2024-09-02 21:24:08.000 Z,REPL,31098894572,AP9841581,X6RAE4801,19,Q3368499,S1 Tophat NS
2024-09-02 21:24:23.000 Z,REPL,31098894572,ZU7884336,X6RAE4901,11,Q3368499,S1 Tophat NS
2024-09-02 21:24:28.000 Z,REPL,1125481959,XY9889132,T524570,11,Q5481596,S1 Tophat NS
2024-09-02 21:26:18.000 Z,REPL,1125481959,DT0550065,24061229,100,Q5481596,S1 Tophat NS
2024-09-02 21:27:56.000 Z,REPL,48470481082,FG2776404,39914320,61,Q4685527,S1 Tophat NS
2024-09-02 21:29:14.000 Z,REPL,1125481959,RTB4475848,23775743,14,Q5481596,S1 Tophat NS
2024-09-02 21:29:21.000 Z,REPL,68210973323,GN0769032,692207,154,Q0437665,S1 Tophat NS
2024-09-02 21:29:54.000 Z,REPL,739L4236732,HH9967009,M250908,12,Q8399589,S1 Tophat NS
2024-09-02 21:31:58.000 Z,REPL,55240737678,YR5945154,99217521,13,Q9873799,S1 Tophat NS
2024-09-02 21:32:13.000 Z,REPL,90895020597,UE8265101,X6SBW2701,165,Q5481596,S1 Tophat NS
2024-09-02 21:32:39.000 Z,REPL,90895020597,JW7322023,X6SBW1701,9,Q5481596,S1 Tophat NS
2024-09-02 21:32:56.000 Z,REPL,11298999937,IS2087302,T522681,151,Q2957111,S1 Tophat NS
2024-09-02 21:34:55.000 Z,REPL,1121400566,KZ4518653,VJ4BP3801,64,Q2957111,S1 Tophat NS
2024-09-02 21:35:02.000 Z,REPL,253C0434108,AP8221771,T521805,11,Q5481596,S1 Tophat NS
2024-09-02 21:35:04.000 Z,REPL,89845069277,ZU5048435,1689135,214,Q0437665,S1 Tophat NS
2024-09-02 21:35:13.000 Z,REPL,78832778142,XY4278015,M250995,538,Q8952449,S1 Tophat NS
2024-09-02 21:35:34.000 Z,REPL,25975216191,DT7127711,M250283,56,Q0408031,S1 Tophat NS
2024-09-02 21:37:25.000 Z,REPL,68761284237,FG5824009,39913277,66,Q0408031,S1 Tophat NS
2024-09-02 21:38:26.000 Z,REPL,25391388776,RTB4789879,AF4BB0,76,Q2957111,S1 Tophat NS
2024-09-02 21:39:38.000 Z,REPL,55460068883,GN2328319,46T711,16,Q8399589,S1 Tophat NS
2024-09-02 21:39:44.000 Z,REPL,28243106617,HH6728335,9127034,101,Q0408031,S1 Tophat NS
2024-09-02 21:40:04.000 Z,REPL,768C2499392,YR5529324,M249509,73,Q8952449,S1 Tophat NS
2024-09-02 21:41:09.000 Z,REPL,16588798786,UE0653682,A6DAB3,29,Q5481596,S1 Tophat NS
2024-09-02 21:41:18.000 Z,REPL,20606634394,JW0252395,8220287,127,Q3368499,S1 Tophat NS
2024-09-02 21:41:36.000 Z,REPL,253C0434108,IS3222719,T524398,80,Q0408031,S1 Tophat NS
2024-09-02 21:41:37.000 Z,REPL,20606634394,KZ8343626,8210458,13,Q3368499,S1 Tophat NS
2024-09-02 21:41:53.000 Z,REPL,20606634394,AP0093248,8210457,9,Q3368499,S1 Tophat NS
2024-09-02 21:42:04.000 Z,REPL,28975026884,ZU6179445,A6M606,158,Q2957111,S1 Tophat NS
2024-09-02 21:42:21.000 Z,REPL,1125292137,XY9819471,T524827,142,Q0437665,S1 Tophat NS
2024-09-02 21:42:59.000 Z,REPL,96992012392,DT2662427,6218111,101,Q8399589,S1 Tophat NS
2024-09-02 21:43:25.000 Z,REPL,68411825339,FG2470242,39907275,77,Q0408031,S1 Tophat NS
2024-09-02 21:43:52.000 Z,REPL,28710625899,RTB5672186,9027134,13,Q3368499,S1 Tophat NS
2024-09-02 21:44:38.000 Z,REPL,985R0134711,GN4008524,4768319,71,Q8399589,S1 Tophat NS
2024-09-02 21:45:26.000 Z,REPL,65116929322,HH5560234,7042725,85,Q8952449,S1 Tophat NS
2024-09-02 21:46:21.000 Z,REPL,768C2866847,YR2499846,61508932,162,Q2957111,S1 Tophat NS
2024-09-02 21:47:19.000 Z,REPL,80154316944,UE2746194,7027177,113,Q7853685,S1 Tophat NS
2024-09-02 21:47:28.000 Z,REPL,76892727738,JW1148544,M249091,133,Q5481596,S1 Tophat NS
2024-09-02 21:48:07.000 Z,REPL,48382868908,IS0922408,A66552,19,Q0437665,S1 Tophat NS
2024-09-02 21:49:21.000 Z,REPL,65400375678,KZ5654084,M245751,67,Q8952449,S1 Tophat NS
2024-09-02 21:50:09.000 Z,REPL,80640520807,AP3869678,M244967,61,Q7853685,S1 Tophat NS
2024-09-02 21:51:49.000 Z,REPL,11298795019,ZU5504011,2696070,127,Q5481596,S1 Tophat NS
2024-09-02 21:52:18.000 Z,REPL,74344790553,XY1871725,25212996,56,Q8952449,S1 Tophat NS
2024-09-02 21:52:29.000 Z,REPL,1125481959,DT5812474,23901557,115,Q0408031,S1 Tophat NS
2024-09-02 21:53:34.000 Z,REPL,62256620754,FG0889666,M243345,39,Q7853685,S1 Tophat NS
2024-09-02 21:53:45.000 Z,REPL,68210056789,RTB4467341,690351,66,Q0408031,S1 Tophat NS
2024-09-02 21:54:28.000 Z,REPL,68210973323,GN3694734,692662,14,Q0437665,S1 Tophat NS
2024-09-02 21:55:27.000 Z,REPL,63147075924,HH5696343,64598328,70,Q8952449,S1 Tophat NS
2024-09-02 21:55:40.000 Z,REPL,62256620754,YR0330476,M248625,7,Q7853685,S1 Tophat NS
2024-09-02 21:56:52.000 Z,REPL,90895029447,UE5573406,T520194,25,Q5481596,S1 Tophat NS
2024-09-02 21:57:58.000 Z,REPL,31098894572,JW1290857,X6SBE3301,282,Q7592653,S1 Tophat NS
2024-09-02 21:58:50.000 Z,REPL,65401369213,IS6945794,M244881,61,Q8952449,S1 Tophat NS
2024-09-02 21:59:17.000 Z,REPL,14460035118,KZ9486455,778453925,311,Q0408031,S1 Tophat NS
2024-09-02 22:00:02.000 Z,REPL,801A9328724,AP0395265,T522961,47,Q7853685,S1 Tophat NS
